object_id,creation_time,name,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id
1,22-04-2014 03:53,Clausen August,GUEST_INVITE,1398138810,1,0,11,10803
2,15-11-2013 03:45,Poole Matthew,ORG_INVITE,1396237504,0,0,1,316
3,19-03-2013 23:14,Bottrill Mitchell,ORG_INVITE,1363734892,0,0,94,1525
4,21-05-2013 08:09,Clausen Nicklas,GUEST_INVITE,1369210168,0,0,1,5151
5,17-01-2013 10:14,Raw Grace,GUEST_INVITE,1358849660,0,0,193,5240
6,17-12-2013 03:37,Cunha Eduardo,GUEST_INVITE,1387424226,0,0,197,11241
7,16-12-2012 13:24,Sewell Tyler,SIGNUP,1356009872,0,1,37,
8,31-07-2013 05:34,Hamilton Danielle,PERSONAL_PROJECTS,,1,1,74,
9,05-11-2013 04:04,Amsel Paul,PERSONAL_PROJECTS,,0,0,302,
10,16-01-2013 22:08,Santos Carla,ORG_INVITE,1401833283,1,1,318,4143
11,26-12-2013 03:55,Paulsen Malthe,SIGNUP,1388116554,0,0,69,
12,17-04-2014 23:48,Mathiesen Lærke,ORG_INVITE,,0,0,130,9270
13,30-03-2014 16:19,Fry Alexander,ORG_INVITE,1396196378,0,0,254,11204
14,11-10-2012 16:14,Rivera Bret,SIGNUP,1350058473,0,0,0,
15,16-07-2013 21:33,Theiss Ralf,PERSONAL_PROJECTS,,0,0,175,
16,11-02-2013 10:09,Engel René,PERSONAL_PROJECTS,,0,0,211,
17,09-04-2014 14:39,Reynolds Anthony,GUEST_INVITE,1397313578,1,0,175,1600
18,24-08-2013 00:26,Gregersen Celina,GUEST_INVITE,,0,0,2,3153
19,24-05-2013 14:56,Collins Arlene,SIGNUP,1369925796,1,0,0,
20,06-03-2014 11:46,Helms Mikayla,SIGNUP,1401363998,0,0,58,
21,22-01-2013 12:27,Hunter Alfie,PERSONAL_PROJECTS,1358857662,0,0,54,
22,10-02-2014 06:00,Myers Jordan,ORG_INVITE,1392012046,0,0,7,2994
23,17-08-2012 08:30,Souza Alice,ORG_INVITE,1345278627,1,0,6,23
24,09-09-2013 22:20,Woodruff James,SIGNUP,1378765203,1,0,123,
25,25-02-2014 00:11,Stone Elise,GUEST_INVITE,1393373473,1,0,81,6312
26,28-07-2013 00:53,Wexler Florian,ORG_INVITE,,0,0,56,11857
27,14-01-2014 17:35,Santos Luís,ORG_INVITE,1389807311,0,0,134,4189
28,11-02-2013 20:00,Weissmuller Marko,SIGNUP,1360872025,0,0,6,
29,16-09-2013 02:08,Fernandes Evelyn,SIGNUP,1379383721,0,0,92,
